11:30:26.274 [Thread-0] INFO  server.service.Server - Server started!
17:17:29.323 [Thread-0] INFO  server.service.Server - Server started!
17:17:41.223 [Thread-0] INFO  server.service.Server - A new client has connected!
17:18:30.297 [Thread-0] INFO  server.service.Server - Server started!
17:18:36.311 [Thread-0] INFO  server.service.Server - A new client has connected!
17:18:39.991 [pool-5-thread-2] INFO  server.service.Server - Server socket disconnected. No more clients will be accepted!. The server will be shutdown in 1 minute!
17:18:55.362 [Thread-0] INFO  server.service.Server - Server shutdown initiated!
17:18:55.362 [pool-5-thread-2] INFO  server.service.Server - Server socket disconnected. No more clients will be accepted!. The server will be shutdown in 1 minute!
17:19:29.635 [Thread-0] INFO  server.service.Server - Server started!
17:19:34.743 [Thread-0] INFO  server.service.Server - A new client has connected!
17:19:36.937 [pool-5-thread-2] INFO  server.service.Server - Server socket disconnected. No more clients will be accepted!. The server will be shutdown in 1 minute!
17:19:42.137 [Thread-0] INFO  server.service.Server - Server shutdown initiated!
